Month,Time,Coal,NG,Solar,Wind,Hydro,
2,16,0.38,0.39,0.06,0.02,0.15,
2,17,0.39,0.39,0.05,0.02,0.15,
2,18,0.37,0.43,0.04,0.01,0.15,
2,19,0.4,0.41,0.03,0.02,0.14,
2,20,0.41,0.41,0.01,0.03,0.14,
2,21,0.39,0.42,0,0.04,0.15,
2,22,0.37,0.42,0,0.05,0.16,
2,23,0.36,0.44,0,0.05,0.15,
3,0,0.4,0.4,0,0.05,0.15,
3,1,0.38,0.41,0,0.05,0.16,
3,2,0.37,0.43,0,0.05,0.15,
3,3,0.35,0.45,0,0.05,0.15,
3,4,0.39,0.42,0,0.04,0.15,
3,5,0.38,0.42,0,0.04,0.16,
3,6,0.37,0.43,0.01,0.04,0.15,
3,7,0.35,0.45,0.02,0.03,0.15,
3,8,0.38,0.4,0.04,0.02,0.16,
3,9,0.37,0.42,0.05,0.01,0.15,
3,10,0.36,0.42,0.06,0.01,0.15,
3,11,0.39,0.38,0.06,0.01,0.16,
3,12,0.37,0.39,0.07,0.02,0.15,
3,13,0.36,0.4,0.08,0.01,0.15,
3,14,0.38,0.38,0.07,0.01,0.16,
3,15,0.39,0.38,0.06,0.01,0.16,
3,16,0.38,0.39,0.06,0.02,0.15,
3,17,0.39,0.39,0.05,0.02,0.15,
3,18,0.37,0.43,0.04,0.01,0.15,
3,19,0.4,0.41,0.03,0.02,0.14,
3,20,0.41,0.4,0.02,0.03,0.14,
3,21,0.39,0.41,0.01,0.04,0.15,
3,22,0.37,0.42,0,0.05,0.16,
3,23,0.35,0.45,0,0.05,0.15,
4,0,0.4,0.39,0,0.05,0.16,
4,1,0.38,0.4,0,0.05,0.17,
4,2,0.37,0.43,0,0.05,0.15,
4,3,0.35,0.43,0,0.05,0.17,
4,4,0.39,0.39,0,0.04,0.18,
4,5,0.38,0.4,0,0.04,0.18,
4,6,0.37,0.42,0.01,0.04,0.16,
4,7,0.35,0.43,0.02,0.03,0.17,
4,8,0.38,0.4,0.04,0.02,0.16,
4,9,0.37,0.4,0.05,0.01,0.17,
4,10,0.36,0.41,0.06,0.01,0.16,
4,11,0.39,0.38,0.06,0.01,0.16,
4,12,0.37,0.38,0.07,0.02,0.16,
4,13,0.36,0.4,0.08,0.01,0.15,
4,14,0.38,0.37,0.07,0.01,0.17,
4,15,0.39,0.36,0.06,0.01,0.18,
4,16,0.38,0.39,0.06,0.02,0.15,
4,17,0.39,0.38,0.05,0.02,0.16,
4,18,0.37,0.43,0.04,0.01,0.15,
4,19,0.4,0.39,0.03,0.02,0.16,
4,20,0.41,0.39,0.02,0.03,0.15,
4,21,0.39,0.4,0.01,0.04,0.16,
4,22,0.37,0.42,0,0.05,0.16,
4,23,0.36,0.43,0,0.05,0.16,
5,0,0.4,0.39,0,0.05,0.16,
5,1,0.38,0.4,0,0.05,0.17,
5,2,0.37,0.43,0,0.05,0.15,
5,3,0.35,0.43,0,0.05,0.17,
5,4,0.39,0.39,0,0.04,0.18,
5,5,0.38,0.39,0.01,0.04,0.18,
5,6,0.37,0.41,0.02,0.04,0.16,
5,7,0.35,0.42,0.03,0.03,0.17,
5,8,0.38,0.4,0.04,0.02,0.16,
5,9,0.37,0.4,0.05,0.01,0.17,
5,10,0.36,0.41,0.06,0.01,0.16,
5,11,0.39,0.37,0.07,0.01,0.16,
5,12,0.37,0.37,0.08,0.02,0.16,
5,13,0.36,0.4,0.08,0.01,0.15,
5,14,0.38,0.35,0.09,0.01,0.17,
5,15,0.39,0.35,0.07,0.01,0.18,
5,16,0.37,0.4,0.06,0.02,0.15,
5,17,0.39,0.38,0.05,0.02,0.16,
5,18,0.37,0.43,0.04,0.01,0.15,
5,19,0.4,0.38,0.04,0.02,0.16,
5,20,0.41,0.39,0.02,0.03,0.15,
5,21,0.39,0.4,0.01,0.04,0.16,
5,22,0.37,0.42,0,0.05,0.16,
5,23,0.35,0.44,0,0.05,0.16,
6,0,0.4,0.4,0,0.04,0.16,
6,1,0.38,0.41,0,0.04,0.17,
6,2,0.37,0.43,0,0.05,0.15,
6,3,0.35,0.44,0,0.04,0.17,
6,4,0.39,0.39,0,0.04,0.18,
6,5,0.38,0.39,0.01,0.04,0.18,
6,6,0.36,0.43,0.02,0.03,0.16,
6,7,0.35,0.42,0.03,0.03,0.17,
6,8,0.38,0.4,0.04,0.02,0.16,
6,9,0.37,0.39,0.05,0.02,0.17,
6,10,0.36,0.41,0.06,0.01,0.16,
6,11,0.38,0.38,0.07,0.01,0.16,
6,12,0.37,0.38,0.08,0.01,0.16,
6,13,0.36,0.4,0.08,0.01,0.15,
6,14,0.38,0.35,0.09,0.01,0.17,
6,15,0.39,0.35,0.07,0.01,0.18,
6,16,0.38,0.41,0.06,0,0.15,
6,17,0.4,0.37,0.05,0.02,0.16,
6,18,0.37,0.44,0.04,0,0.15,
6,19,0.4,0.39,0.04,0.01,0.16,
6,20,0.41,0.4,0.02,0.02,0.15,
6,21,0.39,0.4,0.01,0.04,0.16,
6,22,0.37,0.43,0,0.04,0.16,
6,23,0.35,0.44,0,0.05,0.16,
7,0,0.4,0.4,0,0.04,0.16,
7,1,0.38,0.41,0,0.04,0.17,
7,2,0.37,0.43,0,0.05,0.15,
7,3,0.35,0.44,0,0.04,0.17,
7,4,0.39,0.39,0,0.04,0.18,
7,5,0.38,0.39,0.01,0.04,0.18,
7,6,0.36,0.43,0.02,0.03,0.16,
7,7,0.35,0.41,0.04,0.03,0.17,
7,8,0.38,0.39,0.05,0.02,0.16,
7,9,0.37,0.38,0.06,0.02,0.17,
7,10,0.36,0.4,0.07,0.01,0.16,
7,11,0.39,0.37,0.07,0.01,0.16,
7,12,0.35,0.4,0.08,0.01,0.16,
7,13,0.36,0.39,0.09,0.01,0.15,
7,14,0.38,0.34,0.1,0.01,0.17,
7,15,0.39,0.33,0.09,0.01,0.18,
7,16,0.38,0.39,0.08,0,0.15,
7,17,0.38,0.37,0.07,0.02,0.16,
7,18,0.37,0.42,0.06,0,0.15,
7,19,0.4,0.39,0.04,0.01,0.16,
7,20,0.41,0.39,0.03,0.02,0.15,
7,21,0.39,0.4,0.01,0.04,0.16,
7,22,0.37,0.43,0,0.04,0.16,
7,23,0.35,0.44,0,0.05,0.16,
8,0,0.4,0.41,0,0.04,0.15,
8,1,0.38,0.42,0,0.04,0.16,
8,2,0.37,0.43,0,0.05,0.15,
8,3,0.35,0.46,0,0.04,0.15,
8,4,0.39,0.42,0,0.04,0.15,
8,5,0.37,0.42,0.01,0.04,0.16,
8,6,0.37,0.43,0.02,0.03,0.15,
8,7,0.35,0.43,0.04,0.03,0.15,
8,8,0.38,0.39,0.05,0.02,0.16,
8,9,0.37,0.4,0.06,0.02,0.15,
8,10,0.36,0.41,0.07,0.01,0.15,
8,11,0.4,0.36,0.07,0.01,0.16,
8,12,0.37,0.39,0.08,0.01,0.15,
8,13,0.36,0.39,0.09,0.01,0.15,
8,14,0.38,0.35,0.1,0.01,0.16,
8,15,0.39,0.35,0.09,0.01,0.16,
8,16,0.38,0.39,0.08,0,0.15,
8,17,0.38,0.38,0.07,0.02,0.15,
8,18,0.37,0.42,0.06,0,0.15,
8,19,0.4,0.41,0.04,0.01,0.14,
8,20,0.41,0.4,0.03,0.02,0.14,
8,21,0.39,0.41,0.01,0.04,0.15,
8,22,0.38,0.42,0,0.04,0.16,
8,23,0.36,0.44,0,0.05,0.15,
9,0,0.4,0.41,0,0.04,0.15,
9,1,0.38,0.42,0,0.04,0.16,
9,2,0.37,0.43,0,0.05,0.15,
9,3,0.35,0.46,0,0.04,0.15,
9,4,0.4,0.41,0,0.04,0.15,
9,5,0.38,0.41,0.01,0.04,0.16,
9,6,0.37,0.43,0.02,0.03,0.15,
9,7,0.35,0.44,0.03,0.03,0.15,
9,8,0.38,0.4,0.04,0.02,0.16,
9,9,0.34,0.44,0.05,0.02,0.15,
9,10,0.36,0.42,0.06,0.01,0.15,
9,11,0.39,0.37,0.07,0.01,0.16,
9,12,0.37,0.39,0.08,0.01,0.15,
9,13,0.35,0.41,0.08,0.01,0.15,
9,14,0.38,0.36,0.09,0.01,0.16,
9,15,0.39,0.37,0.07,0.01,0.16,
9,16,0.38,0.41,0.06,0,0.15,
9,17,0.39,0.39,0.05,0.02,0.15,
9,18,0.37,0.44,0.04,0,0.15,
9,19,0.4,0.41,0.04,0.01,0.14,
9,20,0.4,0.42,0.02,0.02,0.14,
9,21,0.39,0.41,0.01,0.04,0.15,
9,22,0.36,0.44,0,0.04,0.16,
9,23,0.36,0.44,0,0.05,0.15,
10,0,0.4,0.41,0,0.04,0.15,
10,1,0.38,0.42,0,0.04,0.16,
10,2,0.37,0.43,0,0.05,0.15,
10,3,0.34,0.47,0,0.04,0.15,
10,4,0.39,0.42,0,0.04,0.15,
10,5,0.38,0.41,0.01,0.04,0.16,
10,6,0.37,0.43,0.02,0.03,0.15,
10,7,0.35,0.44,0.03,0.03,0.15,
10,8,0.38,0.4,0.04,0.02,0.16,
10,9,0.37,0.41,0.05,0.02,0.15,
10,10,0.35,0.43,0.06,0.01,0.15,
10,11,0.39,0.37,0.07,0.01,0.16,
10,12,0.37,0.39,0.08,0.01,0.15,
10,13,0.36,0.4,0.08,0.01,0.15,
10,14,0.37,0.37,0.09,0.01,0.16,
10,15,0.39,0.37,0.07,0.01,0.16,
10,16,0.38,0.41,0.06,0,0.15,
10,17,0.39,0.39,0.05,0.02,0.15,
10,18,0.37,0.44,0.04,0,0.15,
10,19,0.43,0.38,0.04,0.01,0.14,
10,20,0.41,0.41,0.02,0.02,0.14,
10,21,0.39,0.41,0.01,0.04,0.15,
10,22,0.37,0.43,0,0.04,0.16,
10,23,0.36,0.44,0,0.05,0.15,
11,0,0.38,0.43,0,0.04,0.15,
11,1,0.38,0.42,0,0.04,0.16,
11,2,0.37,0.43,0,0.05,0.15,
11,3,0.35,0.46,0,0.04,0.15,
11,4,0.38,0.43,0,0.04,0.15,
11,5,0.38,0.42,0,0.04,0.16,
11,6,0.37,0.44,0.01,0.03,0.15,
11,7,0.35,0.45,0.02,0.03,0.15,
11,8,0.38,0.4,0.04,0.02,0.16,
11,9,0.36,0.42,0.05,0.02,0.15,
11,10,0.36,0.42,0.06,0.01,0.15,
11,11,0.39,0.38,0.06,0.01,0.16,
11,12,0.37,0.4,0.07,0.01,0.15,
11,13,0.35,0.41,0.08,0.01,0.15,
11,14,0.38,0.38,0.07,0.01,0.16,
11,15,0.39,0.38,0.06,0.01,0.16,
11,16,0.38,0.41,0.06,0,0.15,
11,17,0.38,0.4,0.05,0.02,0.15,
11,18,0.37,0.44,0.04,0,0.15,
11,19,0.41,0.41,0.03,0.01,0.14,
11,20,0.41,0.41,0.02,0.02,0.14,
11,21,0.39,0.41,0.01,0.04,0.15,
11,22,0.37,0.43,0,0.04,0.16,
11,23,0.36,0.44,0,0.05,0.15,
12,0,0.42,0.38,0,0.05,0.15,
12,1,0.38,0.41,0,0.05,0.16,
12,2,0.37,0.43,0,0.05,0.15,
12,3,0.35,0.45,0,0.05,0.15,
12,4,0.39,0.42,0,0.04,0.15,
12,5,0.37,0.43,0,0.04,0.16,
12,6,0.37,0.43,0.01,0.04,0.15,
12,7,0.35,0.45,0.02,0.03,0.15,
12,8,0.38,0.41,0.03,0.02,0.16,
12,9,0.37,0.42,0.05,0.01,0.15,
12,10,0.35,0.44,0.05,0.01,0.15,
12,11,0.39,0.38,0.06,0.01,0.16,
12,12,0.37,0.39,0.07,0.02,0.15,
12,13,0.36,0.41,0.07,0.01,0.15,
12,14,0.37,0.4,0.06,0.01,0.16,
12,15,0.39,0.38,0.06,0.01,0.16,
12,16,0.38,0.39,0.06,0.02,0.15,
12,17,0.39,0.39,0.05,0.02,0.15,
12,18,0.37,0.43,0.04,0.01,0.15,
12,19,0.4,0.41,0.03,0.02,0.14,
12,20,0.41,0.41,0.01,0.03,0.14,
12,21,0.39,0.42,0,0.04,0.15,
12,22,0.37,0.42,0,0.05,0.16,
12,23,0.36,0.44,0,0.05,0.15,
